Count,Population_pair,Samples,Initial_SNP,MAF_filter_SNP,Filtered_SNP,LR_accuracy,LR_f1score,LR_kappa,UMAP_LR_accuracy,UMAP_LR_f1score,UMAP_LR_kappa
50,GAgam_KE,117.0,4836295,226255,1867,1.0,1.0,1.0,0.4166666666666667,0.2450980392156863,0.0
51,GAgam_UGgam,181.0,4836295,217045,65676,1.0,1.0,1.0,0.3783783783783784,0.2077371489136195,0.0
52,GHcol_GM,120.0,4836295,222296,71791,1.0,1.0,1.0,1.0,1.0,1.0
53,GHcol_GNgam,95.0,4836295,207485,86406,1.0,1.0,1.0,1.0,1.0,1.0
54,GHcol_GW,146.0,4836295,211816,100466,1.0,1.0,1.0,1.0,1.0,1.0
55,GHcol_KE,103.0,4836295,192718,3544,1.0,1.0,1.0,0.47619047619047616,0.3072196620583717,0.0
56,GHcol_UGgam,167.0,4836295,208680,107062,1.0,1.0,1.0,1.0,1.0,1.0
57,GM_GNgam,105.0,4836295,214643,68500,1.0,1.0,1.0,1.0,1.0,1.0
58,GM_GW,156.0,4836295,217306,85205,1.0,1.0,1.0,1.0,1.0,1.0
59,GM_KE,113.0,4836295,203831,4230,1.0,1.0,1.0,0.8695652173913043,0.8685481820493264,0.7315175097276265
60,GM_UGgam,177.0,4836295,211461,102247,1.0,1.0,1.0,1.0,1.0,1.0
61,GNgam_GW,131.0,4836295,204755,105491,1.0,1.0,1.0,1.0,1.0,1.0
62,GNgam_KE,88.0,4836295,183370,1279,1.0,1.0,1.0,0.5555555555555556,0.39682539682539686,0.0
63,GNgam_UGgam,152.0,4836295,204857,107262,0.8709677419354839,0.8546236559139785,0.5974025974025974,1.0,1.0,1.0
64,GW_KE,139.0,4836295,209134,33925,1.0,1.0,1.0,0.6785714285714286,0.6748768472906405,0.41666666666666663
65,GW_UGgam,203.0,4836295,205850,112864,1.0,1.0,1.0,1.0,1.0,1.0
66,KE_UGgam,160.0,4836295,210881,46669,1.0,1.0,1.0,0.90625,0.9009699624530663,0.7623762376237624
